08-05-2019 15:52:05.313,-,API,"D200K,0013A200417E381A,XBee PRO 900HP 200K,8075,COM3 - 9600/8/N/1/N,3"
08-05-2019 15:53:14.746,36,RECV,7E0072900013A200417E3816FFFE4100000025DFF4F5F2F1FBC000505B800CF7CCCCC0B00C0B00C060180CCCF3F04FF9FFEEC30302F1F6C193B95FFF0B77CA0B10C9B39C0B06C0B06CA0B12C41B19C17B38CA3B38C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100016B27C58B77C193B33C310D
08-05-2019 15:53:14.867,37,RECV,7E0072900013A200417E3816FFFE4100000026DFF4F5F2F1FBC000505B800CF7CCCCC0B00C0B00C060180CCCF3F04FF9FFEEC30302F1F6C193B95FFF0B77CA0B10C9B39C0B06C0B06CA0B12C41B19C17B38CA3B38C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100016B27C58B77C193B33C310C
08-05-2019 15:53:15.867,38,RECV,7E0071900013A200417E3816FFFE4100000027DFF4F5F2F1FBC000506B800CF7CCCCC0B00C0B00C060180CCCF3F049FFEEC31364F1F6C193B95FFF0B75CA0B11C9B40CA0B06C0B06C0B00C40B75C18B88CA2B69C359B94C4B62C0B50C0B79CA0B09C9B77C23B98C100017B80C58B71C193B20C3129
08-05-2019 15:53:15.967,39,RECV,7E0071900013A200417E3816FFFE4100000028DFF4F5F2F1FBC000506B800CF7CCCCC0B00C0B00C060180CCCF3F049FFEEC31419F1F6C193B95FFF0B76CA0B09C9B37CA0B06C0B06C0B12C41B56C17B38CA2B25C359B94C4B62C0B50C0B79CA0B09C9B77C23B98C100017B80C58B71C193B20C3124
08-05-2019 15:53:16.907,40,RECV,7E0071900013A200417E3816FFFE4100000029DFF4F5F2F1FBC000507B800CF7CCCCC0B00C0B00C060180CCCF3F048FFEEC32400F1F6C193B95FFF0B75CA0B11C9B38C0B00CA0B19C0B00C40B38C18B19CA3B38C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100015B92C58B68C193B36C3154
08-05-2019 15:53:17.007,41,RECV,7E0071900013A200417E3816FFFE410000002ADFF4F5F2F1FBC000507B800CF7CCCCC0B00C0B00C060180CCCF3F048FFEEC32470F1F6C193B95FFF0B76CA0B10C9B38C0B00C0B12CA0B12C41B56C18B56CA2B25C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100015B92C58B68C193B36C31AE
08-05-2019 15:53:18.297,42,RECV,7E006D900013A200417E3816FFFE410000002BDFF4F5F4F4F9C000509B399CCCCC0C00CCCFF1CCF1CCF077FFEEC33837F1F6C193B95FFF0B77CA0B10C9B40C0B00C0B00CA0B06C41B19C19B25CA2B69C359B94C4B62C0B50C0B79CA0B09C9B77C23B98C100015B16C58B65C193B43C3146
08-05-2019 15:53:18.407,43,RECV,7E006D900013A200417E3816FFFE410000002CDFF4F5F4F4F9C000509B399CCCCC0C00CCCFF1CCF1CCF077FFEEC33837F1F6C193B95FFF0B77CA0B10C9B40C0B00C0B00CA0B06C41B19C19B25CA2B69C359B94C4B62C0B50C0B79CA0B09C9B77C23B98C100015B16C58B65C193B43C3145
08-05-2019 15:53:19.797,44,RECV,7E0072900013A200417E3816FFFE410000002DDFF4F5F2F1FBC000510B800CF7CCCCC0B00C0B00C060180CCCF3F04FFDFFEEC35330F1F6C193B95FFF0B75CA0B10C9B39CA0B06C0B12C0B06C40B75C18B56CA2B25C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100015B03C58B59C193B44C3154
08-05-2019 15:53:19.947,45,RECV,7E0072900013A200417E3816FFFE410000002EDFF4F5F2F1FBC000510B800CF7CCCCC0B00C0B00C060180CCCF3F04FFDFFEEC35330F1F6C193B95FFF0B75CA0B10C9B39CA0B06C0B12C0B06C40B75C18B56CA2B25C359B94C4B62C0B50C0B79CA0B09C9B77C23B97C100015B03C58B59C193B44C3153
